Chunk,Model,Model type,Faces,Faces 98%,Vertices,Vertices 98%,Resolution mean (m^2),Resolution mean 98% (m^2),Resolution median (m^2),Resolution median 98% (m^2),Max resolution (m^2),Min resolution (m^2),Resolution range (m^2),Max resolution 98% (m^2),Min resolution 98% (m^2),Resolution range 98% (m^2),Mean Confidence,Median Confidence,Max Confidence,Min Confidence,RMS Reprojection Error (pixels),Max Reprojection Error (pixels)
776,776_open,Mesh,35154,34450,17676,17322,9.97544376961295E-07,6.33619602455684E-07,4.1400783599547E-07,4.1400783599547E-07,0.0008283056409924160,0.0,0.0008283056409924160,3.46790777162805E-06,6.84909432898008E-08,3.39941682833825E-06,62.77847405486230,38.79999923706060,254.0,0.0,5.973856947093690,25.803758957079800
776,776_closed,Mesh,39044,38263,19524,19133,9.90549490240576E-07,6.10922968609359E-07,4.12546226319832E-07,4.12546226319832E-07,0.0008283056409924160,0.0,0.0008283056409924160,2.93911432208079E-06,7.55820078205725E-08,2.86353231426021E-06,62.32813966302300,38.0,254.0,0.0,5.973856947093690,25.803758957079800
782,782_scene,Mesh,842419,825570,422627,414174,9.26144298920993E-07,5.8506903475723E-07,3.99094776672151E-07,3.99094776672151E-07,0.0008283056409924160,0.0,0.0008283056409924160,2.8101685180079E-06,7.7740117899955E-08,2.73242840010795E-06,63.88463160722020,38.625,254.0,0.0,4.234333869950750,10.076169384437800
782,782_open,Mesh,28665,28091,14443,14154,9.21742177146434E-07,5.67305973437013E-07,3.97555680084049E-07,3.97555680084049E-07,0.0008283056409924160,0.0,0.0008283056409924160,2.46782677316711E-06,8.40291353239134E-08,2.38379763784319E-06,63.77822731674050,38.33333206176760,254.0,0.0,4.234333869950750,10.076169384437800
782,782_closed,Mesh,36526,35795,18265,17899,9.16127202610604E-07,5.51522829083211E-07,3.95358195999891E-07,3.95358195999891E-07,0.0008283056409924160,0.0,0.0008283056409924160,2.22702637828786E-06,9.00898144817582E-08,2.1369365638061E-06,63.547313300810400,38.0,254.0,0.0,4.234333869950750,10.076169384437800
784,784_scene,Mesh,886634,868901,444819,435922,1.00127675578911E-06,6.0090582615119E-07,4.1102318767671E-07,4.1102318767671E-07,0.0011921308163775400,0.0,0.0011921308163775400,4.43037043857851E-06,8.79088630796714E-08,4.34246157549884E-06,61.8142037197943,38.33333206176760,254.0,0.0,5.612791280028130,16.887103757830100
784,784_open,Mesh,45094,44192,22731,22276,9.96840334017306E-07,5.76619187194123E-07,4.10477128036335E-07,4.10477128036335E-07,0.0011921308163775400,0.0,0.0011921308163775400,2.57252621620384E-06,9.5608480154073E-08,2.47691773604976E-06,61.60818545214260,38.0,254.0,0.0,5.612791280028130,16.887103757830100
784,784_closed,Mesh,60184,58980,30098,29496,9.90253042901453E-07,5.62599174228384E-07,4.08828487918052E-07,4.08828487918052E-07,0.0011921308163775400,0.0,0.0011921308163775400,2.11463306290386E-06,1.00822425770837E-07,2.01381063713302E-06,61.219678439818800,38.0,254.0,0.0,5.612791280028130,16.887103757830100
786,786_scene,Mesh,1264525,1239234,635790,623074,9.18619757004639E-07,5.31845329373035E-07,3.79266770179819E-07,3.79266770179819E-07,0.0011921308163775400,0.0,0.0011921308163775400,2.24490601194668E-06,4.55797784845433E-08,2.19932623346213E-06,62.01534647502900,37.79999923706060,254.0,0.0,4.2637294127832600,15.93834546493290
786,786_open,Mesh,25015,24514,12617,12364,9.1637807195654E-07,5.20415663281515E-07,3.78694471697997E-07,3.78694471697997E-07,0.0011921308163775400,0.0,0.0011921308163775400,1.96053791766795E-06,6.99201290941286E-08,1.89061778857382E-06,62.04914926743530,37.875,254.0,0.0,4.2637294127832600,15.93834546493290
